Start Training...
Epoch 1/2: Iteration 45300, loss = 0.008363
Epoch 1/2: Iteration 45400, loss = 5.921149
Epoch 1/2: Iteration 45500, loss = 0.088336
Epoch 1/2: Iteration 45600, loss = 0.051295
Epoch 1/2: Iteration 45700, loss = 0.040498
Epoch 1/2: Iteration 45800, loss = 0.082526
Epoch 1/2: Iteration 45900, loss = 0.033686
Epoch 1/2: Iteration 46000, loss = 0.413636
Epoch 1/2: Iteration 46100, loss = 10.262677
Epoch 1/2: Iteration 46200, loss = 0.268499
Epoch 1/2: Iteration 46300, loss = 1.344140
Epoch 1/2: Iteration 46400, loss = 0.172072
Epoch 1/2: Iteration 46500, loss = 0.007491
Epoch 1/2: Iteration 46600, loss = 0.003378
Epoch 1/2: Iteration 46700, loss = 0.035437
Epoch 1/2: Iteration 46800, loss = 0.033278
Epoch 1/2: Iteration 46900, loss = 0.000915
Epoch 1/2: Iteration 47000, loss = 0.066871
Epoch 1/2: Iteration 47100, loss = 0.318042
Epoch 1/2: Iteration 47200, loss = 0.312673
Epoch 1/2: Iteration 47300, loss = 0.227281
Epoch 1/2: Iteration 47400, loss = 0.150501
Epoch 1/2: Iteration 47500, loss = 0.123231
Epoch 1/2: Iteration 47600, loss = 0.081715
Epoch 1/2: Iteration 47700, loss = 0.050073
Epoch 1/2: Iteration 47800, loss = 0.038206
Epoch 1/2: Iteration 47900, loss = 0.008578
Epoch 1/2: Iteration 48000, loss = 0.022212
Epoch 1/2: Iteration 48100, loss = 0.039440
Epoch 1/2: Iteration 48200, loss = 0.037530
Epoch 1/2: Iteration 48300, loss = 0.047393
Epoch 1/2: Iteration 48400, loss = 0.047279
Epoch 1/2: Iteration 48500, loss = 0.050509
Epoch 1/2: Iteration 48600, loss = 0.013581
Epoch 1/2: Iteration 48700, loss = 0.122025
Epoch 1/2: Iteration 48800, loss = 0.001282
Epoch 1/2: Iteration 48900, loss = 0.017015
Epoch 1/2: Iteration 49000, loss = 0.026921
Epoch 1/2: Iteration 49100, loss = 0.020748
Epoch 1/2: Iteration 49200, loss = 0.010045
Epoch 1/2: Iteration 49300, loss = 0.211093
Epoch 1/2: Iteration 49400, loss = 0.020085
